experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,900,100,3,BB,0.0591496,14332,"[2,17,46,67,155,169,247,351,364,463,510,620,651,656,657,664,684,748,751,777,810,814,867,894]"
2,500,100,1,BB,0.217798,15441,"[25,38,46,54,65,156,159,193,195,241,244,284,285,314,319,322,373,389,396,423,432,434,441,448]"
2,400,100,5,BB,0.0169274,14858,"[10,16,68,71,85,95,103,125,126,196,202,205,209,217,235,250,285,295,324,356,386]"
2,800,100,4,BB,0.081973,15364,"[25,40,58,60,82,125,144,181,188,209,211,219,409,509,572,591,623,649,698,742,758,790,791,794]"
2,900,100,9,BB,0.0189631,13368,"[70,96,168,227,303,319,327,353,369,460,491,516,547,590,637,667,692,742,880,885]"
2,100,100,8,BB,0.710119,17724,"[1,5,6,8,16,24,28,30,33,36,37,44,47,51,57,66,69,71,79,80,81,85,86,88,89,93,95]"
2,100,100,4,BB,0.143971,16262,"[2,4,5,17,19,20,23,38,39,42,46,48,50,55,60,67,69,72,74,82,89,92,94]"
2,200,100,6,BB,0.0181954,15075,"[15,22,36,37,40,44,58,64,67,68,69,147,153,157,158,180,187,192,193,199]"
2,800,100,7,BB,0.0627598,16278,"[139,153,172,203,218,220,230,238,268,269,362,375,379,435,458,459,461,484,493,527,550,566,642,743]"
2,1100,100,9,BB,0.0196152,13021,"[96,134,257,274,352,415,548,578,601,682,697,743,795,817,818,857,878,957,987,991,1030]"
2,900,100,6,BB,0.509902,19845,"[43,79,95,114,177,193,218,285,295,324,328,329,453,518,554,605,619,624,674,716,722,740,748,764,797,840,897]"
2,600,100,4,BB,0.104492,16432,"[13,23,51,116,154,165,245,270,307,309,320,356,391,409,412,423,428,431,434,436,504,513,547,591]"
2,200,100,3,BB,0.0241531,14194,"[3,7,42,71,84,87,92,100,102,109,114,128,131,132,133,139,150,157,162,163]"
2,500,100,3,BB,0.0237599,13515,"[3,82,100,107,151,174,180,185,201,211,243,268,290,314,342,380,430,474,484]"
2,800,100,2,BB,0.214595,16739,"[21,34,117,192,205,212,232,233,241,269,318,328,427,444,460,464,469,471,501,690,779,787,793]"
2,200,100,4,BB,0.0133389,13768,"[19,46,50,55,56,61,82,83,87,90,104,131,132,142,146,160,168,186,191]"
2,300,100,2,BB,0.01783,15162,"[1,7,28,29,51,53,56,72,92,101,112,121,137,149,164,173,190,199,204,228,272,286]"
2,300,100,10,BB,0.51591,17864,"[2,3,36,45,51,55,74,84,85,87,92,99,103,132,145,158,171,172,178,207,228,255,265,269,271,290,292,297]"
2,700,100,2,BB,0.493725,17692,"[66,106,179,210,212,219,230,233,239,250,279,282,303,337,377,436,441,519,520,528,546,582,586,590,598,622,646]"
2,1000,100,5,BB,0.00857582,12601,"[10,20,195,209,251,262,315,329,338,427,470,503,627,852,859,876,943,979]"
2,300,100,7,BB,0.181518,16049,"[1,30,34,44,46,53,57,76,86,101,103,123,156,158,215,225,262,271,272,275,278,286,290,296]"
2,100,100,10,BB,0.0191927,14314,"[3,8,14,16,19,21,25,28,31,42,47,48,53,54,56,63,66,82,83,88,91]"
2,1000,100,2,BB,0.114767,17087,"[31,33,66,76,82,153,184,333,451,454,470,526,630,633,779,803,804,852,878,881,916,941,942]"
2,1100,100,5,BB,5.54329,19564,"[6,15,49,100,109,134,145,151,170,173,199,490,555,556,591,592,633,732,830,850,886,887,893,911,982,1063,1086,1099]"
2,700,100,6,BB,0.218867,16236,"[14,19,47,55,73,88,109,123,175,195,196,205,253,310,318,327,409,443,446,453,553,606,665,671]"
2,800,100,10,BB,2.22044,20004,"[22,36,41,57,95,130,174,190,209,229,240,257,271,303,328,338,412,444,456,499,537,565,572,587,599,633,675,678,726,755]"
2,500,100,10,BB,0.424415,16831,"[59,69,101,103,112,121,143,168,199,212,220,222,239,250,267,283,286,336,348,358,371,381,399,401,452,478]"
2,1000,100,4,BB,0.552322,13801,"[42,47,66,89,98,127,155,164,175,254,420,505,514,520,546,549,756,795,802,819,891,925,956,967,988]"
2,800,100,3,BB,0.00569459,12778,"[11,45,46,67,122,128,214,242,276,311,400,405,502,540,577,599,608,695,722]"
2,700,100,4,BB,0.0191247,14005,"[3,26,70,87,106,129,249,257,290,320,346,367,370,378,437,474,492,554,558,587,612]"
2,900,100,10,BB,0.0547559,16342,"[94,161,186,245,284,295,393,418,424,460,493,507,543,556,576,581,611,637,647,658,722,725,734]"
2,700,100,3,BB,0.50655,17675,"[16,79,96,118,160,164,167,181,210,237,262,366,387,393,396,419,444,458,483,511,531,538,659,676,682,691,697]"
2,500,100,2,BB,0.0227516,13619,"[50,60,107,121,127,132,156,207,212,225,229,260,263,265,361,368,373,440,496]"
2,100,100,6,BB,0.0472479,15080,"[5,18,20,27,33,39,45,62,66,67,70,71,73,76,77,79,86,87,91,93,96,99]"
2,500,100,6,BB,0.131579,16877,"[31,56,67,69,79,102,124,163,188,199,223,230,269,327,336,352,356,361,398,401,422,425,446,457]"
2,800,100,8,BB,0.00797372,12847,"[81,87,89,161,239,304,329,389,410,416,467,504,548,567,723,766,799]"
2,1000,100,7,BB,0.188646
